family,source_file,source_column,candidate_key,logical_parent,raw_target,parsing_policy,analytical_use,disposition,reconciliation_rule,metadata_variants
13f,COVERPAGE.tsv,ACCESSION_NUMBER,True,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,identity_and_lineage,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,ADDITIONALINFORMATION,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,AMENDMENTNO,False,SUBMISSION.tsv,sec_13f_coverpage_raw,decimal_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,AMENDMENTTYPE,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,CONFDENIEDEXPIRED,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,CRDNUMBER,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,DATEDENIEDEXPIRED,False,SUBMISSION.tsv,sec_13f_coverpage_raw,date_field_specific_fail_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,DATEREPORTED,False,SUBMISSION.tsv,sec_13f_coverpage_raw,date_field_specific_fail_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,FILINGMANAGER_CITY,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,FILINGMANAGER_NAME,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,FILINGMANAGER_STATEORCOUNTRY,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,FILINGMANAGER_STREET1,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,FILINGMANAGER_STREET2,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,FILINGMANAGER_ZIPCODE,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,FORM13FFILENUMBER,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,ISAMENDMENT,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,PROVIDEINFOFORINSTRUCTION5,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,REASONFORNONCONFIDENTIALITY,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,REPORTCALENDARORQUARTER,False,SUBMISSION.tsv,sec_13f_coverpage_raw,date_field_specific_fail_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,REPORTTYPE,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,COVERPAGE.tsv,SECFILENUMBER,False,SUBMISSION.tsv,sec_13f_coverpage_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,ACCESSION_NUMBER,True,SUBMISSION.tsv,sec_13f_infotable_raw,text_preserve_lexical,identity_and_lineage,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,CUSIP,False,SUBMISSION.tsv,sec_13f_infotable_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,FIGI,False,SUBMISSION.tsv,sec_13f_infotable_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,INFOTABLE_SK,True,SUBMISSION.tsv,sec_13f_infotable_raw,decimal_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,INVESTMENTDISCRETION,False,SUBMISSION.tsv,sec_13f_infotable_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,NAMEOFISSUER,False,SUBMISSION.tsv,sec_13f_infotable_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,OTHERMANAGER,False,SUBMISSION.tsv,sec_13f_infotable_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,PUTCALL,False,SUBMISSION.tsv,sec_13f_infotable_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,SSHPRNAMT,False,SUBMISSION.tsv,sec_13f_infotable_raw,decimal_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,SSHPRNAMTTYPE,False,SUBMISSION.tsv,sec_13f_infotable_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,TITLEOFCLASS,False,SUBMISSION.tsv,sec_13f_infotable_raw,text_preserve_lexical,identity_and_lineage,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,VALUE,False,SUBMISSION.tsv,sec_13f_infotable_raw,decimal_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,VOTING_AUTH_NONE,False,SUBMISSION.tsv,sec_13f_infotable_raw,decimal_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,VOTING_AUTH_SHARED,False,SUBMISSION.tsv,sec_13f_infotable_raw,decimal_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,INFOTABLE.tsv,VOTING_AUTH_SOLE,False,SUBMISSION.tsv,sec_13f_infotable_raw,decimal_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER.tsv,ACCESSION_NUMBER,True,SUBMISSION.tsv,sec_13f_othermanager_raw,text_preserve_lexical,identity_and_lineage,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER.tsv,CIK,False,SUBMISSION.tsv,sec_13f_othermanager_raw,text_preserve_lexical,identity_and_lineage,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER.tsv,CRDNUMBER,False,SUBMISSION.tsv,sec_13f_othermanager_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER.tsv,FORM13FFILENUMBER,False,SUBMISSION.tsv,sec_13f_othermanager_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER.tsv,NAME,False,SUBMISSION.tsv,sec_13f_othermanager_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER.tsv,OTHERMANAGER_SK,True,SUBMISSION.tsv,sec_13f_othermanager_raw,decimal_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER.tsv,SECFILENUMBER,False,SUBMISSION.tsv,sec_13f_othermanager_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER2.tsv,ACCESSION_NUMBER,True,SUBMISSION.tsv,sec_13f_othermanager2_raw,text_preserve_lexical,identity_and_lineage,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER2.tsv,CIK,False,SUBMISSION.tsv,sec_13f_othermanager2_raw,text_preserve_lexical,identity_and_lineage,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER2.tsv,CRDNUMBER,False,SUBMISSION.tsv,sec_13f_othermanager2_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER2.tsv,FORM13FFILENUMBER,False,SUBMISSION.tsv,sec_13f_othermanager2_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER2.tsv,NAME,False,SUBMISSION.tsv,sec_13f_othermanager2_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER2.tsv,SECFILENUMBER,False,SUBMISSION.tsv,sec_13f_othermanager2_raw,text_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
13f,OTHERMANAGER2.tsv,SEQUENCENUMBER,False,SUBMISSION.tsv,sec_13f_othermanager2_raw,decimal_preserve_lexical,source_specific,raw_and_typed_projection,source_rows_equal_raw_rows,03d7f86bd18d3a203f92514da974544289522313bea3d28f368122cb6c44da9b;42a43366dcee0fe70399db36825cdce18ecba74d95b5a4e18406cf0f0b43ca01
